,Date,Project,Method,OD260/280,OD260/230,Concentration,Yield(ug)
197,2022-02-14,RDC,Chemagen,1.9,2.3,183.53,27.5295
198,2022-01-17,RDC,Chemagen,1.95,2.16,85.29,12.793500000000002
199,2022-01-07,RDC,Chemagen,2.04,2.16,73.53,11.0295
200,2022-01-17,RDC,Chemagen,1.9,1.91,117.85,17.6775
201,2022-01-17,RDC,Chemagen,1.93,2.31,116.82,17.523
202,2022-01-21,RDC,Chemagen,2.02,2.67,63.96,9.594
203,2022-01-27,RDC,Chemagen,1.96,2.42,169.31,25.3965
204,2022-02-08,RDC,Chemagen,1.99,2.04,65.13,9.7695
205,2022-02-16,RDC,Chemagen,1.92,2.14,99.42,14.913
206,2022-02-08,RDC,Chemagen,2.01,2.14,99.07,14.860499999999998
207,2022-02-16,RDC,Chemagen,2.01,2.17,89.92,13.488
208,2022-02-25,RDC,Chemagen,1.92,2.18,80.49,12.0735
209,2022-03-22,RDC,Chemagen,1.89,2.17,121.71,18.2565
210,2022-03-17,RDC,Chemagen,2.04,2.53,108.53,16.2795
211,2022-01-17,RDC,Chemagen,1.82,1.66,91.52,13.728
212,2022-02-14,RDC,Chemagen,1.94,2.08,80.31,12.0465
213,2022-01-31,RDC,Chemagen,1.95,2.21,75.12,11.268
214,2022-02-01,RDC,Chemagen,1.99,1.96,127.87,19.1805
215,2022-03-14,RDC,Chemagen,2.01,2.3,82.82,12.422999999999998
216,2022-01-20,RDC,Chemagen,2.03,2.21,100.51,15.0765
217,2022-01-20,RDC,Chemagen,2.36,2.83,39.24,5.886
218,2022-01-12,RDC,Chemagen,1.85,1.4,99.53,14.9295
219,2022-03-28,RDC,Chemagen,2.03,2.23,157.79,23.6685
220,2022-01-14,RDC,Chemagen,1.93,2.21,127.34,19.101
221,2022-02-08,RDC,Chemagen,1.93,2.26,129.62,19.443
222,2022-03-21,RDC,Chemagen,1.87,1.98,92.64,13.896
223,2022-02-08,RDC,Chemagen,2.06,2.18,87.26,13.089
224,2022-03-30,RDC,Chemagen,1.89,2.26,109.12,16.368
225,2022-01-27,RDC,Chemagen,2.0,1.41,58.26,8.739
226,2022-01-31,RDC,Chemagen,1.95,2.36,79.56,11.934
227,2022-03-22,RDC,Chemagen,1.95,2.07,134.92,20.237999999999996
228,2022-02-04,RDC,Chemagen,1.9,5.47,190.94,28.641
229,2022-03-21,RDC,Chemagen,1.98,2.17,70.79,10.618500000000001
230,2022-02-21,RDC,Chemagen,1.98,2.25,85.72,12.858
231,2022-02-08,RDC,Chemagen,2.07,2.09,53.11,7.9665
232,2022-01-27,RDC,Chemagen,1.87,2.1,84.12,12.618
233,2022-01-17,RDC,Chemagen,1.97,1.94,76.92,11.538
234,2022-02-24,RDC,Chemagen,1.92,1.59,59.17,8.8755
235,2022-02-21,RDC,Chemagen,1.85,2.07,98.22,14.733
236,2022-02-25,RDC,Chemagen,1.97,1.9,59.12,8.868
237,2022-01-14,RDC,Chemagen,2.03,1.86,53.48,8.021999999999998
238,2022-02-01,RDC,Chemagen,1.95,2.16,151.2,22.68
239,2022-03-25,RDC,Chemagen,2.0,1.92,117.13,17.5695
240,2022-01-17,RDC,Chemagen,1.97,2.32,91.79,13.768500000000001
241,2022-01-14,RDC,Chemagen,1.95,2.01,126.77,19.0155
242,2022-01-14,RDC,Chemagen,1.9,2.33,58.58,8.787
243,2022-01-17,RDC,Chemagen,1.98,2.33,62.6,9.39
244,2022-02-14,RDC,Chemagen,1.88,2.17,74.08,11.112
245,2022-02-24,RDC,Chemagen,1.94,2.03,221.21,33.1815
246,2022-02-18,RDC,Chemagen,2.02,2.31,77.86,11.679
247,2022-03-09,RDC,Chemagen,2.04,2.22,91.15,13.6725
248,2022-03-11,RDC,Chemagen,1.96,2.09,263.52,39.528
